#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Hymenobacter antarcticus	 JCM 17217, LMG 26017, VUG-A42aa	yes	no
Kitasatospora saccharophila	 JCM 14559, JCM:14559, KCTC 19566, KCTC:19566, SK15	yes	no
Nocardioides allogilvus	 CFH 30205, CGMCC 4.7457, CGMCC:4.7457, KCTC 49020, KCTC:49020	yes	yes
Photobacterium angustum	 68, ATCC 25915, ATCC:25915, BCCM/LMG:8455, CAIM 908, CAIM:908, CCUG 16300, CCUG:16300, CIP 75.10, CIP:75.10, DSM 19184, LMG 8455, LMG:8455	yes	yes
Flagellimonas pacifica	 BCCM/LMG:26997, DSM 25885, DSM:25885, JCM 18379, JCM:18379, KCTC 52762, LMG 26997, LMG:26997, SW169	yes	yes
Methylacidimicrobium fagopyrum	 3C	yes	no
Veillonella massiliensis	 CSUR P3594, Marseille-P3594	yes	no
Paucisalibacillus globulus	 B22, BCCM/LMG:23148, CIP 108857, CIP:108857, DSM 18846, DSM:18846, LMG 23148, LMG:23148	yes	yes
Brucella papionis	 CIRMBP 0958, CIRMBP:0958, F8/08-60, NCTC 13660, NCTC:13660	yes	no
Pseudomonas protegens	 CFBP 6595, CFBP:6595, CHA0, DSM 19095, DSM:19095	yes	yes
Skermanella stibiiresistens	 CGMCC 1.10751, CGMCC:1.10751, KCTC 23364, KCTC:23364, SB22	yes	yes
Bacillus oleronius	 ATCC 700005, ATCC:700005, BCCM/LMG:17952, CIP 104972, CIP:104972, DSM 9356, DSM:9356, LMG 17952, LMG:17952, Rt 10	yes	yes
Streptomyces finlayi	 AS 4.1436, AS:4.1436, ATCC 23340, ATCC 23906, ATCC:23340, ATCC:23906, CBS 802.68, CBS:802.68, DSM 40218, DSM:40218, HAMBI 1071, HAMBI:1071, IFO 13201, IFO:13201, ISP 5218, ISP:5218, JCM 4216, JCM 4637, JCM:4216, JCM:4637, NBRC 13201, NBRC:13201, NCIMB 9834, NCIMB:9834, NRRL B-12114, NRRL-ISP 5218, NRRL-ISP:5218, NRRL:B:12114, RIA 1162, RIA:1162, VKM Ac-967, VKM:Ac:967	yes	no
Brevibacillus brevis	 ATCC 8246, ATCC:8246, BCCM/LMG:7123, BCRC 14682, BCRC:14682, CCM 2050, CCM:2050, CCRC 14682, CCRC:14682, CCUG 7413, CCUG:7413, CIP 52.86, CIP:52.86, DSM 30, DSM:30, HAMBI 1883, HAMBI:1883, IFO 15304, IFO:15304, JCM 2503, JCM:2503, LMG 7123, LMG:7123, NBRC 15304, NBRC:15304, NCCB 48009, NCCB:48009, NCIB 9372, NCIMB 9372, NCIMB:9372, NCTC 2611, NCTC:2611, NRRL B-14602, NRRL NRS-604, NRRL:B:14602, NRRL:NRS:604, VKM B-503, VKM B-503., VKM:B:503	yes	yes
Chondromyces crocatus	 Cm c5, DSM 14714, DSM:14714, JCM 12616, JCM:12616, TC 601, TC:601	yes	yes
Sarcina ventriculi	 ATCC 19633, ATCC 29068, BCRC 15563, DSM 286, NCTC 12966	yes	yes
Alicyclobacillus shizuokensis	 4-A336, DSM 17981, DSM:17981, IAM 15226, IAM:15226, JCM 21680, JCM:21680, NBRC 103103, NBRC:103103	yes	yes
Brevibacterium siliguriense	 BCCM/LMG:25772, DSM 23676, DSM:23676, LMG 25772, LMG:25772, MB18	yes	yes
Xylophilus ampelinus	 ATCC 33914, ATCC:33914, BCCM/LMG:5856, BCCM/LMG:5857, BCCM/LMG:5858, BCCM/LMG:5949, CCUG 21976, CCUG:21976, CECT 7646, CECT:7646, CFBP 1192, CFBP 3674, CFBP:1192, CFBP:3674, CNBP 1192, CNPB 1192, CNPB:1192, DSM 7250, DSM:7250, ICMP 8920, ICMP:4298, ICMP:8920, LMG 5856, LMG 5857, LMG 5858, LMG 5949, LMG:5856, LMG:5857, LMG:5858, LMG:5949, NCPPB 2217, NCPPB:2217, PDDCC 4298, PDDCC:4298	yes	yes
Simulacricoccus ruber	 DSM 106554, DSM:106554, MCy10636, NCCB 100651, NCCB:100651	yes	no
Clostridium composti	 JCM 32793, KCTC 15630, YH-tan31	no	no
Cohnella nanjingensis	 CCTCC AB 2014067, CCTCC:AB:2014067, D45, DSM 28246, DSM:28246	yes	no
Legionella dumoffii	 ATCC 33279, CCUG 11881, CIP 103876, DSM 17625, NCTC 11370, NY 23, NY23	yes	yes
Nonomuraea wenchangensis	 210417, CGMCC 4.5598, CGMCC:4.5598, DSM 45477, DSM:45477	yes	yes
Bacillus massilionigeriensis	 CSUR P2384, Marseille-P2384	yes	yes
Francisella tularensis	 ATCC 6223, ATCC:6223, B-38, GIEM Schu	yes	no
Acetatifactor muris	 ATCC BAA-2170, ATCC:BAA:2170, CT-m2, DSM 23669, DSM:23669	yes	no
Nocardioides panacisoli	 DSM 21348, DSM:21348, Gsoil 346, JCM 16953, JCM:16953, KCTC 19470, KCTC:19470	yes	no
Streptomyces indonesiensis	 A4R2, DSM 41759, DSM:41759, JCM 11445, JCM:11445, NBRC 100776, NBRC:100776, NCIMB 13673, NCIMB:13673	yes	no
Marinithermofilum abyssi	 CGMCC 1.15179, CGMCC:1.15179, DSM 45910, NBRC 109939, NBRC:109939, SCSIO 11157, SCSIO:11157	yes	no
Acetobacter nitrogenifigens	 BCCM/LMG:23498, BCRC 80095, BCRC:80095, DSM 23921, DSM:23921, LMG 23498, LMG:23498, MTCC 6912, MTCC:6912, NBRC 105050, NBRC:105050, RG1	yes	yes
Halomonas nigrificans	 BCCM/LMG:29097, DSM 105749, DSM:105749, LMG 29097, LMG:29097, MBT G8648	yes	yes
Croceitalea litorea	 CBA3205, JCM 19531, JCM:19531, KACC 17669, KACC:17669	yes	no
Falsirhodobacter halotolerans	 JA744, KCTC 32158, KCTC:32158, NBRC 108897, NBRC:108897	yes	no
Hydrogenovibrio marinus	 DSM 11271, DSM:11271, DSMZ 11271, JCM 7688, JCM:7688, MH-110	yes	yes
Lachnotalea glycerini	 DLD10, DSM 28816, DSM:28816, JCM 30818, JCM:30818	yes	yes
Marivirga tractuosa	 ATCC 23168, ATCC:23168, BCCM/LMG:8378, CIP 106410, CIP:106410, DSM 4126, DSM:4126, H-43, IFO 15989, IFO:15989, KCTC 2958, KCTC:2958, LMG 8378, LMG:8378, NBRC 15989, NBRC:15989, NCIMB 1408, NCIMB:1408, NCMB 1408, VKM B-1430, VKM:B:1430	yes	yes
Thiococcus pfennigii	 4250, 8013, DSM 1375, DSM 1375?, DSM 226, DSM 226 ?, DSM:226, NTHC, Nidelven	yes	no
Niabella ginsenosidivorans	 BS26, JCM 18199, JCM:18199, KACC 16620, KACC:16620	yes	yes
Streptococcus parauberis	 BCCM/LMG:12174, CCUG 39954, CCUG:39954, CIP 103956, CIP:103956, DSM 6631, DSM:6631, LMG 12174, LMG:12174, NCDO 2020, NCDO:2020, NCFB 2020, NCFB:2020, NCIMB 702020, NCIMB:702020	yes	yes
Treponema medium	 ATCC 700293, ATCC:700293, G7201	yes	yes
Moraxella pluranimalium	 248-01, CCUG 54913, CCUG:54913, CECT 7295, CECT:7295, DSM 22804, DSM:22804	yes	yes
Rhizobacter dauci	 ATCC 43778, ATCC:43778, BCCM/LMG:9036, DSM 11587, DSM:11587, H6, ICMP 9400, ICMP:9400, LMG 9036, LMG:9036	yes	no
Shewanella hafniensis	 ATCC BAA-1207, ATCC:BAA:1207, NBRC 100975, NBRC:100975, P010	yes	no
Pseudomonas tremae	 BCCM/LMG:22121, CFBP 3229, CFBP 6111, CFBP:3229, CFBP:6111, CIP 106417, CIP:106417, DSM 16744, DSM:16744, ICMP 9151, ICMP:9151, LMG 22121, LMG:22121, NCPPB 3465, NCPPB:3465	yes	yes
Maribacter thermophilus	 CGMCC 1.12207, CGMCC:1.12207, HT7-2, JCM 18466, JCM:18466	yes	yes
Microbulbifer agarilyticus	 DSM 19200, DSM:19200, JAMB A3, JCM 14708, JCM:14708	yes	no
Saccharomonospora saliphila	 DSM 45087, DSM:45087, JCM 15627, JCM:15627, KCTC 19234, KCTC:19234, YIM 90502, YIM:90502	yes	yes
Streptomyces griseoplanus	 AS 4.1868, AS:4.1868, ATCC 19766, ATCC:19766, BCRC 13649, BCRC:13649, CBS 504.68, CBS:504.68, CCRC 13649, CCRC:13649, DSM 40009, DSM:40009, IFO 12779, IFO:12779, ISP 5009, ISP:5009, JCM 4300, JCM 4582, JCM:4300, JCM:4582, NBRC 12779, NBRC:12779, NCIMB 9811, NCIMB:9811, NRRL B-3064, NRRL ISP-5009, NRRL-ISP 5009, NRRL-ISP:5009, NRRL:B:3064, RIA 1046, RIA:1046, UNIQEM 152, UNIQEM:152, VKM Ac-1727, VKM:Ac:1727	yes	yes
Terrabacter aeriphilus	 5414T-18, DSM 18563, DSM:18563, JCM 17687, JCM:17687, KACC 20693, KACC:20693	yes	no
Ferrimonas gelatinilytica	 CJ24, JCM 18720, JCM:18720, KACC 17065, KACC:17065	yes	no
Massilia tieshanensis	 CCTCC AB 2010202, CCTCC:AB:2010202, DSM 25654, KACC 14940, KACC:14940, TS3	yes	no
Paradonghicola geojensis	 FJ12, JCM 30384, JCM:30384, KEMB 3001-336, KEMB:3001-336, KEMC:3001-336	yes	no
Deinococcus proteolyticus	 ATCC 35074, ATCC:35074, CCM 2703, CCM:2703, DSM 20540, DSM 20540., DSM:20540, HAMBI 2066, HAMBI:2066, IFO 15345, IFO:15345, JCM 6276, JCM:6276, Kobatake, Kobatake strain MRP, MRP, NBRC 101906, NBRC 15345, NBRC:101906, NBRC:15345, UWO 1056, UWO:1056, VKM Ac-1939, VKM:Ac:1939	yes	yes
Novosphingobium acidiphilum	 CCM 7496, CCM:7496, CCUG 55538, CCUG:55538, DSM 19966, DSM:19966, FSW06-204d	yes	yes
Clavibacter insidiosus	 ATCC 10253, CCUG 38895, CFBP 2404, CIP 105048, CIP 105363, DSM 20157, ICMP 2621, JCM 9664, LMG 3663, NCPPB 1109, VKM Ac-1402	yes	yes
Leptospira congkakensis	 SCS9	no	no
Planococcus salinarum	 CCUG 57753, CCUG:57753, DSM 23820, ISL-16, KCTC 13584, KCTC:13584	yes	yes
Pseudochelatococcus lubricantis	 BCCM/LMG:28286, CCM 8528, CCM:8528, CCTCC AB 2015036 [[Qingshengfania soli]], CCTCC:AB:2015036 [[Qingshengfania soli]], CIP 110802, CIP:110802, DSM 28761, KCTC 42463 [[Qingshengfania soli]], KCTC:42463 [[Qingshengfania soli]], LMG 28286, LMG:28286, LR4 [[Qingshengfania soli]], MPA 1113	yes	no
Cellulophaga geojensis	 CCUG 60801, CCUG:60801, KCTC 23498, KCTC:23498, M-M6	yes	no
Umboniibacter roseus	 14-121-B13, DSM 29882, DSM:29882, KCTC 42467, KCTC:42467	yes	no
Peptoniphilus grossensis	 CSUR P184, DSM 25475, DSM:25475, ph5	yes	yes
Rhodococcus rhodochrous	 ATCC 13808, ATCC 271 [[Rhodococcus roseus]], ATCC:13808, BCCM/LMG:5365, CCUG 47165, CCUG:47165, CIP 104376, CIP:104376, DSM 43241, DSM 43274 [[Rhodococcus roseus]], DSM:43241, HAMBI 1959, HAMBI:1959, IEGM 62, IEGM:62, IFO 16069, IFO:16069, IMET 7374, JCM 3202, JCM:3202, LMG 5365, LMG:5365, NBRC 16069, NBRC:16069, NCIB 11147, NCTC 10210, NCTC:10210, NRRL B-16536, NRRL B-2149, NRRL:B:16536, NRRL:B:2149, VKM Ac-1227, VKM:Ac:1227	yes	yes
Snuella lapsa	 JC2132, JCM 17111, JCM:17111, KACC 14152, KACC:14152	yes	no
Halomonas sabkhae	 5-3, BCCM/LMG:24084, CECT 7246, CECT:7246, DSM 19122, DSM:19122, LMG 24084, LMG:24084	yes	no
Casaltella massiliensis	 9400853, CSUR P126	yes	yes
Spiroplasma eriocheiris	 CCTCC M 207170, CCTCC:M:207170, CRAB, DSM 21848, DSM:21848, TDA-040725-5	yes	yes
Mesorhizobium metallidurans	 BCCM/LMG:24485, CFBP 7147, CFBP:7147, LMG 24485, LMG:24485, STM 2683, STM:2683	yes	yes
Nocardiopsis ansamitocini	 CGMCC 9969, CGMCC:9969, DSM 103990, EGI 80425, KCTC 39605, KCTC:39605	yes	no
Paenibacillus phoenicis	 3PO2SA, DSM 27463, NBRC 106274, NBRC:106274, NRRL B-59348, NRRL:B:59348	yes	no
Achromobacter agilis	 BCCM/LMG:3411, CCUG 62454, CCUG:62454, LMG 3411, LMG:3411, NCIB 9986, NCIB:9986, NCIMB:9986	yes	yes
Kribbella antibiotica	 CCTCC AA 001021, CCTCC:AA:001021, DSM 15501, DSM:15501, JCM 13523, JCM:13523, NBRC 101882, NBRC:101882, YIM 31530, YIM:31530	yes	yes
Deinococcus koreensis	 KACC 19332, KACC:19332, NBRC 112908, NBRC:112908, SJW1-2	yes	yes
Streptomyces albaduncus	 AS 4.158, AS:4.158, ATCC 14698, ATCC:14698, CBS 698.72, CBS:698.72, CECT 3226, CECT:3226, DSM 40478, DSM:40478, DSMZ 40478, IFO 13397, IFO:13397, ISP 5478, ISP:5478, JCM 4715, JCM:4715, KCTC 1741, KCTC:1741, NBRC 13397, NBRC:13397, NRRL B-3605, NRRL ISP-5478, NRRL-ISP 5478, NRRL-ISP:5478, NRRL:B:3605, RIA 1358, RIA:1358, VKM Ac-1753, VKM:Ac:1753	yes	no
Mycolicibacillus parakoreensis	 299, DSM 45575, DSM:45575, KCTC 19818, KCTC:19818	yes	no
Mycobacterium neworleansense	 ATCC 49404, DSM 44679, JCM 15659, W6705	yes	yes
Streptomyces matensis	 ATCC 23935, ATCC:23935, CBS 919.68, CBS:919.68, DSM 40188, DSM:40188, HAMBI 1048, HAMBI:1048, IFO 12889, IFO:12889, IMET 42065, IMET:42065, ISP 5188, ISP:5188, JCM 4268, JCM 4277, JCM 4651, JCM:4268, JCM:4277, JCM:4651, NBRC 12889, NBRC:12889, NCIMB 9826, NCIMB:9826, NRRL B-2576, NRRL ISP-5188, NRRL-ISP 5188, NRRL-ISP:5188, NRRL:B:2576, RIA 1142, RIA 570, RIA:1142, RIA:570	yes	no
Streptomyces specialis	 CCM 7499, CCM:7499, DSM 41924, DSM:41924, GW 41-1564, GW41-1564, JCM 16611, JCM:16611	yes	yes
Variovorax rhizosphaerae	 KACC 18900, NBRC112307, UCM-G28	no	no
Brachybacterium saurashtrense	 DSM 23186, DSM:23186, IMCC 252, IMCC:252, JG 06	yes	yes
Peptoniphilus timonensis	 CSUR P165, CSUR P165= DSM 25367, DSM 25367, DSM:25367, JC401	yes	yes
Pelagibacterium montanilacus	 CCL18, CGMCC 1.16231, CGMCC:1.16231, KCTC 62030, KCTC:62030	yes	yes
Thermus caliditerrae	 CCTCC 2012061, CCTCC:2012061, DSM 25901, DSM:25901, YIM 77925, YIM:77925	yes	no
Amycolatopsis nigrescens	 CSC17Ta-90, DSM 44992, DSM:44992, HKI 0330, HKI:0330, JCM 14717, JCM:14717, NRRL B-24473, NRRL:B:24473	yes	yes
Cohnella lubricantis	 BCCM/LMG:29763, CCM 8707, CCM:8707, DSM 103658, KSS-154-50, KSS-154-50a2, LMG 29763, LMG:29763	yes	no
Mariniluteicoccus endophyticus	 DSM 28728, DSM:28728, JCM 30097, JCM:30097, KCTC 29482, KCTC:29482, YIM 2617, YIM:2617	yes	no
Aeromonas taiwanensis	 A2-50, BCCM/LMG:24683, CECT 7403, CECT:7403, DSM 24096, DSM:24096, LMG 24683, LMG:24683	yes	yes
Halolamina salifodinae	 DSM 26232, GCMCC 1.12371, GCMCC:1.12371, JCM 18548, JCM:18548, WSY15-H1	yes	no
Parvibaculum hydrocarboniclasticum	 DSM 23209, DSM:23209, EPR92, JCM 16666, JCM:16666	yes	no
Pseudoclavibacter bifida	 CCUG 50209, CCUG:50209, CIP 108567, CIP:108567, DSM 17450, DSM:17450, IAM 14848, IAM:14848, JCM 12920, JCM:12920, NBRC 103089, NBRC:103089	yes	yes
Mesorhizobium loti	 ATCC 33669, ATCC 700743, ATCC:700743, BCCM/LMG:6125, CCUG 27878, CCUG:27878, DSM 2626, DSM:2626, DSMZ 2626, HAMBI 1129, HAMBI:1129, IFO 14779, IFO:14779, JCM 21464, JCM:21464, LMG 6125, LMG:6125, NBRC 14779, NBRC:14779, NZP 2213, NZP:2213	yes	yes
Lactobacillus apinorum	 CCUG 63287, CCUG:63287, DSM 26257, DSM:26257, Fhon13N	yes	no
Blastococcus xanthinilyticus	 BMG 862, CECT 8884, CECT 8884T, CECT:8884, DSM 46842, DSM 46842T, DSM:46842	yes	no
Pseudocaedibacter minutus	 214, ATCC 30699	no	no
Smithella propionica	 DSM 16934, DSM:16934, LYP, OCM 661, OCM:661	yes	no
Rhodococcus baikonurensis	 A1-22, DSM 44587, DSM:44587, GTC 1041, GTC:1041, JCM 11411, JCM:11411, NBRC 100611, NBRC:100611	yes	no
Lactobacillus vespulae	 DCY75, DSM 103408, JCM 19742, JCM:19742, KCTC 21023, KCTC:21023	yes	no
Thiogranum longum	 DSM 19610, DSM:19610, NBRC 101260, NBRC:101260, gps52	yes	yes
Xanthomonas hyacinthi	 ATCC 19314, ATCC:19314, BCCM/LMG:739, CFBP 1156, CFBP:1156, CFPB 1156, DSM 19077, ICMP 189, ICMP:189, LMG 739, LMG:739, NCPPB 599, NCPPB:599	yes	yes
Streptomyces ascomycinicus	 DSM 40822, DSM:40822, JCM 4964, JCM:4964, NBRC 13981, NBRC:13981	yes	no
Pseudomonas syringae pv. coryli	 ICMP 17001, ICMP:17001, NCPPB 4273, NCPPB:4273	yes	yes
Salinispirillum marinum	 CECT 8342, CECT:8342, GCWy1, IBRC-M 10765, IBRC-M:10765	yes	no
Leptospira idonii	 DSM 26084, DSM:26084, Eri-1, JCM 18486, JCM:18486	no	no
Orbus sasakiae	 C7, DSM 27928, JCM 18050, JCM:18050, KACC 16544, KACC:16544	yes	no
Edwardsiella piscicida	 CCUG 62929, CCUG:62929, DSM 104083, ET883, NCIMB 14824, NCIMB:14824	yes	no
Bacteroides ovatus	 ATCC 8483, ATCC:8483, BCRC 10623, BCRC:10623, CCRC 10623, CCRC:10623, CCUG 4943, CCUG:4943, CIP 103756, CIP:103756, DSM 1896, DSM:1896, JCM 5824, JCM:5824, NCTC 11153, NCTC:11153	yes	yes
Virgibacillus arcticus	 DSM 19574, DSM:19574, Hal 1, JCM 14839, JCM:14839	yes	no
Caloramator viterbiensis	 ATCC PTA 584, ATCC:PTA:584, DSM 13723, DSM:13723, JW/MS-VS5	yes	no
Petrimonas mucosa	 CECT 8611, CECT:8611, DSM 28695, DSM:28695, ING2 E5A, ING2-E5A	yes	yes
Streptomyces amakusaensis	 AS 4.1462, AS:4.1462, ATCC 23876, ATCC:23876, BCCM/LMG:19350, CBS 615.68, CBS:615.68, DSM 40219, DSM:40219, IFO 12835, IFO:12835, ISP 5219, ISP:5219, JCM 4167, JCM 4617, JCM:4167, JCM:4617, KCTC 9753, KCTC:9753, LMG 19350, LMG:19350, NBRC 12835, NBRC:12835, NRRL B-3351, NRRL ISP-5219, NRRL-ISP 5219, NRRL-ISP:5219, NRRL:B:3351, RIA 1163, RIA:1163, VKM Ac-995, VKM:Ac:995	yes	no
Colidextribacter massiliensis	 CSUR P3083, Marseille-P3083	yes	no
Cyanobacterium aponinum	 PCC 10605, PCC:10605	no	yes
Microvirga makkahensis	 DSM 25394, DSM:25394, KCTC 23863, KCTC:23863, NRRL-B 24875, NRRL-B:24875, SV1470	yes	no
Cohaesibacter gelatinilyticus	 CL-GR15, DSM 18289, DSM:18289, KCCM 42319, KCCM:42319	yes	yes
Frateuria terrea	 CGMCC 1.7053, CGMCC:1.7053, DSM 26515, DSM:26515, NBRC 104236, NBRC:104236, VA24	yes	yes
Pseudomonas taeanensis	 DSM 25633, JCM 16046, JCM:16046, KACC 14032, KACC:14032, KCTC 22612, KCTC:22612, MS-3, NBRL 105641, NBRL:105641	yes	yes
Lactobacillus silagincola	 DSM 102973, DSM:102973, IWT5, JCM 31144, JCM:31144	yes	yes
Aureisphaera galaxeae	 04OKA003-7, KCTC 32993, KCTC:32993, NBRC 110018, NBRC:110018	yes	no
Parvularcula bermudensis	 ATCC BAA-594, ATCC:BAA:594, HTCC 2503, HTCC2503, KCTC 12087, KCTC:12087	yes	yes
Arthrobacter ramosus	 ATCC 13727, ATCC:13727, BCCM/LMG:17309, CCM 1646, CCM:1646, CIP 102361, CIP:102361, DSM 16186, DSM 20546, IFO 12958, IFO:12958, IMET 10685, JCM 1334, JCM:1334, LMG 17309, LMG:17309, NBRC 12958, NBRC:12958, NCIB 9066, NRRL B-3159, NRRL:B:3159, VKM Ac-1117, VKM Ac-1117., VKM:Ac:1117	yes	no
Bacillus vini	 ACCC 06413, ACCC:06413, JCM 19841, JCM:19841, LAM0415	yes	no
Prevotella baroniae	 CCUG 50418, CCUG:50418, DSM 16972, DSM:16972, E9.33, JCM 13447, JCM:13447	yes	yes
Filifactor villosus	 ATCC 33388, ATCC:33388, DSM 1645, DSM:1645, NCTC 11220, NCTC:11220, VSB 3349, VSB:3349	yes	no
Lentzea deserti	 C68, CGMCC 4.5535, DSM 45480, NRRL B-24707	yes	yes
Sulfolobus yangmingensis	 YM1	yes	no
Deinococcus irradiatisoli	 17bor-2, KCTC 33907, KCTC:33907, NBRC 113037, NBRC:113037	yes	yes
Pseudaeromonas sharmana	 CCUG 54939, CIP 109378, DSM 17445, DSM:17445, GPTSA-6, MTCC 7090, MTCC:7090	yes	no
Marivivens donghaensis	 AM-4, CECT 8947, CECT:8947, KCTC 42776, KCTC:42776	yes	no
Altererythrobacter marensis	 DSM 21428, DSM:21428, KCTC 22370, KCTC:22370, MSW-14	yes	yes
Candidatus Protochlamydia naegleriophila	 KNic	yes	yes
Gordonia lacunae	 BS2, DSM 45085, DSM:45085, JCM 14873, JCM:14873, NRRL B-24551, NRRL:B:24551	yes	yes
Mesoplasma syrphidae	 ATCC 43706, ATCC 51578, ATCC:51578, YJS	yes	yes
Mycobacterium intracellulare subsp. yongonense	 05-1390, DSM 45126, DSM:45126, KCTC 19555, KCTC:19555	yes	yes
Kocuria uropygioeca	 257, BCCM/LMG:29266, DSM 101741, DSM:101741, LMG 29266, LMG:29266	yes	no
Mycoplasma mustelae	 AMRC-C 1486, AMRC-C:1486, ATCC 35214, ATCC:35214, MX9, NCTC 10193, NCTC:10193	yes	yes
Pleionea mediterranea	 CIP 110343, CIP:110343, DSM 25350, DSM:25350, MOLA115	yes	yes
Saccharofermentans acetigenes	 AS 1.5064, AS:1.5064, JCM 14006, JCM:14006, P6	yes	no
Pelagimonas varians	 BCCM/LMG:26343, CIP 110297, CIP:110297, DSM 23678, DSM:23678, LMG 26343, LMG:26343, SH4-1	yes	yes
Streptomyces rubellomurinus	 5818, ATCC 31215, ATCC:31215	yes	yes
Actinoplanes liguriensis	 A/6353, ATCC 31048, ATCC:31048, BCRC 12121, BCRC:12121, CBS 355.75, CBS:355.75, DSM 43865, DSM:43865, FH 2244, IMSNU 22127, IMSNU:22127, JCM 3250, JCM:3250, KCC A- 0250, KCC A-0250, KCC:A:0250, KCTC 9536, KCTC:9536, NBRC 13997, NBRC:13997, NCIMB 12636, NCIMB:12636, NRRL B-16723, NRRL:B:16723, SANK 62178, SANK:62178	yes	yes
Serpentinomonas mccroryi	 B1	no	yes
Streptomyces reniochalinae	 CCTCC AA 2018013, DSM 106194, LHW50302	no	no
Avibacterium endocarditidis	 20186H4H1, CCUG 52860, CCUG:52860, DSM 18224, DSM:18224	yes	yes
Mycobacterium conceptionense	 CCUG 50187, CIP 108544, D16, DSM 45102, JCM 15299	yes	yes
Sphingobacterium yanglingense	 ACCC 19328, ACCC:19328, CCNWSP36-1, DSM 28353, JCM 30166, JCM:30166	yes	no
Occallatibacter savannae	 A2-1c, BCCM/LMG:26946, DSM 25170, DSM:25170, LMG 26946, LMG:26946	yes	no
Thalassobaculum litoreum	 CL-GR58, DSM 18839, DSM:18839, KCCM 42674, KCCM:42674	yes	yes
Leptospira wolbachii	 ?CDC, ATCC 43284, ATCC:43284, CDC, DSM 21523	yes	yes
Vibrio palustris	 BCCM/LMG:29724, CECT 9027, CECT:9027, EAod9, LMG 29724, LMG:29724	yes	yes
Sporosalibacterium tautonense	 DSM 28179, DSM:28179, MRo-4, VKM B-2948, VKM:B:2948	yes	no
[Clostridium] hiranonis	 DSM 13275, DSM:13275, JCM 10541, JCM:10541, TO-931	yes	yes
Paracoccus aestuarii	 B7, DSM 19484, DSM:19484, JCM 15119, JCM:15119, KCTC 22049, KCTC:22049	yes	yes
Desulfurella amilsii	 DSM 29984, DSM:29984, JCM 30680, JCM:30680, TR1	yes	yes
Niabella pedocola	 JCM 31011, JCM:31011, KACC 18454, KACC:18454, KEMB 9005-329, KEMB:9005-329, KEMC:9005-329, R384	yes	no
Vibrio cortegadensis	 BCCM/LMG:27474, C 16.17, CECT 7227, CECT:7227, DSM 102805, LMG 27474, LMG:27474	yes	no
Lacinutrix iliipiscaria	 DSM 26284, JCM 18637, JCM:18637, KCTC 32141, KCTC:32141, Th68	yes	no
Pedobacter petrophilus	 BCCM/LMG:29686, CCM 8687, CCM:8687, LMG 29686, LMG:29686, P3162A	yes	no
Sulfurospirillum alkalitolerans	 DSM 24537, DSM:24537, HTRB-L1, UNIQEM U795	yes	no
Aeromonas media	 ATCC 33907, ATCC:33907, BCCM/LMG:9073, BCRC 14129, BCRC:14129, CCM 3653, CCM:3653, CCRC 14129, CCRC:14129, CCUG 14453, CCUG:14453, CECT 4232, CECT:4232, CIP 103208, CIP:103208, DSM 4881, DSM:4881, JCM 2385, JCM:2385, LMG 9073, LMG:9073, RM	yes	yes
Arenimonas halophila	 CAU 1453, KCTC 62235, KCTC:62235, NBRC 113093, NBRC:113093	yes	no
Streptococcus halichoeri subsp. hominis	 BCCM/LMG:28801, CCUG 67100, CCUG:67100, LMG 28801, LMG:28801, SS1844	yes	no
Kineosphaera limosa	 DSM 14548, DSM:14548, JCM 11399, JCM:11399, Lpha5, NBRC 100340, NBRC:100340	yes	yes
Stanieria cyanosphaera	 PCC 7437, PCC:7437	yes	yes
Psittacicella melopsittaci	 B96/4, CCUG 70858, DSM 105476	no	no
Hymenobacter rigui	 IMSNU 14116, IMSNU:14116, KCTC 12533, KCTC:12533, NBRC 101118, NBRC:101118, WPCB131	yes	yes
Mycobacterium vulneris	 CIP 109859, DSM 45247, NLA000700772	yes	yes
Nocardia transvalensis	 ATCC 6865, ATCC:6865, CCUG 45937, CCUG:45937, CIP 104841, CIP:104841, DSM 43405, DSM 43582, DSM:43405, IFO 15921, IFO:15921, IMET 7500, JCM 9099, JCM:9099, NBRC 15921, NBRC:15921, NCTC 2392, NRRL B-16037, NRRL:B:16037, VKM Ac-867, VKM:Ac:867	yes	yes
Streptomyces aureomonopodiales	 INMI:5008	no	no
Bordetella pertussis	 18323, ATCC 9797, ATCC:9797, BCCM/LMG:14455, CCUG 30873, CCUG:30873, CIP 63.1, CIP:63.1, DSM 5571, DSM:5571, LMG 14455, LMG:14455, NCTC 10739, NCTC:10739	yes	yes
Paraferrimonas sedimenticola	 CIP 109284, CIP:109284, Mok-106, NBRC 101628, NBRC:101628	yes	yes
Phytobacter ursingii	 ATCC 27989, ATCC:27989, CDC 1300-74, CNCTC 5729, CNCTC:5729	yes	no
Foliisarcina bertiogensis	 CENA333, CENA:333	yes	no
Sulfurisphaera javensis	 InaCC Ar81, JCM 32117, JCM:32117, KD-1	yes	no
Mycoplasma gallisepticum	 ATCC 19610, ATCC:19610, CIP 104967, CIP:104967, DSM 19817, DSM:19817, IFO 14855, IFO:14855, NBRC 14855, NBRC:14855, NCTC 10115, NCTC:10115	yes	yes
Paenisporosarcina indica	 BCCM/LMG:23933, DSM 28130, JCM 15114, JCM:15114, LMG 23933, LMG:23933, PN2	yes	yes
